中文片名,外文片名
Fate/Grand Order -終局特異點 冠位時間神殿所羅門-,Fate/Grand Order Final Singularity Grand Temple of Time: Solomon
喋血江陵,TOMB OF THE RIVER
魔法少女☆伊莉雅－雪下的誓言,Fate/Kaleid Liner Prisma Illya - The Vow In The Snow
愛上費加洛,FALLING FOR FIGARO
沒說出口的殺人告白,First Love
活了100天的鱷魚,100 NICHI KAN IKITA WANI
騎趣環世界,SOMEWHERE ELSE TOGETHER
哈利波特：神秘的魔法石,Harry Potter and the Philosopher's Stone
寶可夢：皮卡丘與可可的冒險,Pokémon the Movie: Secrets of the Jungle
蜘蛛人：返校日,SPIDER-MAN: HOMECOMING
終極生存戰,KILLING FIELD
獵魂者,Spiritwalker
喀布爾之燕,SWALLOWS OF KABUL
電影版 狂賭之淵2：絕體絕命俄羅斯輪盤,KAKEGURUI 2：ULTIMATE RUSSIAN ROULETTE
指考風暴,The Exam
夏日之戀,Jules and Jim
阿達一族 2,THE ADDAMS FAMILY 2
驚爆點,POINT BREAK
最後一個平安夜,Silent Night
阿達一族 2 ,THE ADDAMS FAMILY 2
完美的敵人,A PERFECT ENEMY
蜘蛛人：離家日,Spider-Man: Far From Home
我從來不是幽默的女生,Playlist
最後地下鐵,The Last Metro
在回家之後重新開始,COMEING HOME
配對遊戲,NOTHING SERIOUS
幸福知音,Hear Me Out
461個便當,461 Days of Bento: Promise Between Father and Son
黑盒線索,Black Box
北海浩劫,THE NORTH SEA
魔仿犯,Character
蜘蛛人：無家日,SPIDER-MAN: NO WAY HOME
天菜特警,Cop Secret
殲獄行動,ONE SHOT
四季拉麵物語,Come Back Anytime
MONSTA X : THE DREAMING,MONSTA X : THE DREAMING
猛男俱樂部,Men at Work - Miami
作家我就爛,PERHAPS LOVE
麥特與麥斯,Matthias & Maxime
歡樂好聲音 2,SING 2
危城行動,ZEROS AND ONES
GUCCI：豪門謀殺案,HOUSE OF GUCCI
駭客任務：復活,The Matrix Resurrections
終極狩獵團,APEX
鄰危不亂,Next Door
電影 K-ON！輕音部,K-ON!MOVIE
黑特冤家,THE HATING GAME
戰地夜曲,Notturno
驚聲尖叫,SCREAM
闇黑電話,THE BLACK PHONE
名偵探柯南：大怪獸哥梅拉VS假面超人,Detective Conan: Kaiju Gomera VS Kamen Yaiba
2gether電影版：只因我們天生一對,2gether the movie
金牌特務：金士曼起源,The King's man
在車上,Drive My Car
瘋狂競賽片,Official Competition
355：諜影特攻,THE 355
月影,Moonlight Shadow
柏格曼的島,Bergman Island
鳩的擊退法,Every Trick in the Book
非甜蜜生活,Three Floors
記憶,MEMORIA
緣來大飯店,A YEAR-END MEDLEY
慕夏狂潮：從崛起到永恆,Mucha－The Story Of An Artist Who Created A Style
曼儂‧雷斯科,MONON LESCAUT
讓我聽見愛的歌聲,Sing a Bit of Harmony
死間行動,OPERATION MINCEMEAT
西城故事,WEST SIDE STORY
看不見的殺機,See for Me
天堂計劃,Everything Went Fine
世界上最爛的人,The Worst Person in the World
花與愛麗絲：數位修復版,Hana and Alice
牡丹還魂—白先勇與崑曲復興,Peony Pavilion in Renaissance
哭悲,The Sadness
角頭－浪流連,GATAO - The Last Stray
緝魂,THE SOUL
我沒有談的那場戀愛,I missed you
金不厭詐,Everyone has money
夜車,Night Bus
ME,ME
跟你老婆去旅行,A Trip With You Wife
肉蛾天,Ｍeat Days
複身犯,PLURALITY
禮物,The Present
伏魔殿,TEMPLE OF DEVILBUSTER
鬼才之道前導短片,Dead Talents Society
削瘦的靈魂,A Lean Soul
聽見歌 再唱,LISTEN BEFORE YOU SING
東經北緯,Blood Of The Blue
動保蝙蝠俠,TAIWAN BATMAN
尼泊爾布思議,DEAR PERIOD
老鷹回來了,eagle mind
非法母親,"LEGIT MOMS, ILLEGITIMATE KID"
黃國章命案二部曲 友軍,"Second episode of Huang, Kuo-chang’s murder case – The Friendly Force"
多肉女子生存之道,FATBULOUS ME
當男人戀愛時,Man in Love
原來在這裡,Here I came from
與大翅鯨同游,Swimming with Humpback Whale
徘徊年代,Days Before the Millennium
我們的村子,Our village
姊姊,my sister
靈語,Kidnapped Soul
drawn undrew draw,drawn undrew draw
綠色牢籠,Green Jail
癡情馬殺雞,GENTLEMAN SPA
修行,Increasing Echo
收藏電影的人,Film-Wen
波濤最深處,Deepest Uprising
獨攀者,Solo Trekker
一家之主,RECLAIM
藻礁之聲,The voice of Algal reefs
轉啊,Spinning
老鷹之手,Eagle Hand
我曾經住過綠川、柳川吊腳樓,I used to live in Lyu-Chuan，Liou-Chuan stilt housing.
All the King's Men公視門,All the King's Men
真相地圖,THE DEBUNKER
臺中味,Taichung Way
廢棄之城,City of Lost Things
文林銀行,Bank in School
詠晴,Good Day
須菩提的眼淚,Tears Of Subhūti
惡人之煞,The Bad Man
輪迴,Samsara
詭扯,TREAT OR TRICK
魔法阿媽 4K數位修復版,GRANDMA AND HER GHOSTS
影子背後,In The Shadow
盛夏光年,Eternal Summer 
邪佞,HOLY3
誰站在繩子的那頭,Tug of War
良夜不能留,THE NIGHT
瀑布,The Falls
病玫瑰,THE SICK ROSE
月老,Till We Meet Again
青春弒戀,Terrorizers
沒有人該成為孤島,NO MAN IS AN ISLAND
美國女孩,American Girl
