中文片名,外文片名
天亮前的戀愛故事,Yoakemae no Koimonogatari (Before the Dawn)
吳郭魚,Tilapia
大象席地而坐,AN ELEPHANT SITTING STILL
給19歲的我自己,TO MY 19 YEAR OLD
降魔傳,THE GOLDEN MONK
神探蒲松齡,The Knight of Shadows：Between Yin and Yang
阿拉姜色,Ala Changso
平靜冬日,A Storm
唐人街探案2,DETECTIVE CHINATOWN 2
地久天長,"So Long , My Son"
南方車站的聚會,The Wild Goose Lake
吹哨人,The Whistleblower
廉政風雲 煙幕,Integrity
恭喜八婆,MISS BEHAVIOR
G殺事件,The Assassination of G
L.O.V.E. in F.R.A.M.E.S.,L.O.V.E. in F.R.A.M.E.S.
淪落人,Still Human
三夫,Three Husbands
八個女人一台戲,FIRST NIGHT NERVES
非分熟女,The Lady Improper
P風暴,P Storm
九龍不敗,Invincible Dragon
追龍II：賊王,Chasing the Dragon Ⅱ: Master of Ransom
掃毒2 天地對決,The White Storm 2 Drug Lords
沉默的證人,Bodies At Rest
使徒行者2 諜影行動,LINE WALKER 2 INVISIBLE SPY
花椒之味,Fagara
朝花夕拾·芳華絕代-拾芳,Dearest Anita
再見了!小Q,Little Q
犯罪現場,A Witness Out of the Blue
催眠 . 裁決,Guilt by Design
葉問4：完結篇,Ip Man 4:The Finale
